"Building name (this seems to be used as a label on current TC page, alongside Hub name)",Computing Hub name (as per Dynamics),Computing Hub name to display on the new page,"URLs for ""View courses"" buttons should look like this",Sub deliver ID for hubs course buttons,Region,Address,Postcode,Contact email,Contact phone number,Website/microsite address:,Twitter handle and URL,Facebook handle
Tameside College,Computing - Greater Manchester,Greater Manchester,https://teachcomputing.org/courses/hubs/985d4289-2a92-eb11-b1ac-000d3a86e2cc,985d4289-2a92-eb11-b1ac-000d3a86e2cc,North West,"Tameside College, Beaufort Road, Ashton-under-Lyne",OL6 6NX,manchester-ncce@tameside.ac.uk,,,@ComputingHubGM,
Bishop Rawstorne CoE Academy,Computing - Lancashire,Lancashire,https://teachcomputing.org/courses/hubs/e1bc4a95-2a92-eb11-b1ac-000d3a86e2cc,e1bc4a95-2a92-eb11-b1ac-000d3a86e2cc,North West,"Bishop Rawstorne Church of England Academy, Highfield Road, Croston",PR26 9HH,TeachComputing@bishopr.co.uk,01772 600349,,@ComputingHub,
Priestley College,Computing - Warrington and Merseyside,Warrington and Merseyside,https://teachcomputing.org/courses/hubs/5bde57a1-2a92-eb11-b1ac-000d3a86e2cc,5bde57a1-2a92-eb11-b1ac-000d3a86e2cc,North West,"Priestley College, Loushers Lane, Warrington",WA4 6RD,teachcomputing@bca.warrington.ac.uk,01925 579500,,@computinghubMW,
Dartford Grammar School,Computing - Dartford and East Sussex,Dartford and East Sussex,https://teachcomputing.org/courses/hubs/cb85417e-32de-e911-a812-000d3a86d6ce,cb85417e-32de-e911-a812-000d3a86d6ce,South East,"Dartford Grammar School, West Hill, Dartford",DA1 2HW,teachcomputing@dartfordgrammarschool.org.uk ,01322 223039 (ext 161),,@NcceSouthEast,
Langley Grammar School,Computing - London and Home Counties,London and Home Counties,https://teachcomputing.org/courses/hubs/c80b9be2-2c92-eb11-b1ac-000d3a86e2cc,c80b9be2-2c92-eb11-b1ac-000d3a86e2cc,South East,"Langley Grammar School, Reddington Drive, Langley",SL3 7QS,TeachComputing@lgs.slough.sch.uk,01753 598300,,@CompHubLGS,
Maidstone Grammar Sch. for Girls,Computing - Maidstone and Kent,Maidstone and Kent,https://teachcomputing.org/courses/hubs/fe801691-32de-e911-a812-000d3a86d6ce,fe801691-32de-e911-a812-000d3a86d6ce,South East,"Maidstone Grammar School for Girls, Buckland Road, Maidstone",ME16 0SF,teachcomputing@mggs.org ,01662 752103,,@comphubkent,
St. Clements Danes School,Computing - Oxfordshire and Buckinghamshire,Oxfordshire and Buckinghamshire,https://teachcomputing.org/courses/hubs/b53f80f0-2c92-eb11-b1ac-000d3a86e2cc,b53f80f0-2c92-eb11-b1ac-000d3a86e2cc,South East,"St Clements Danes School, Chenies Road, Chorleywood",WD3 6EW,teachcomputing@stclementdanes.herts.sch.uk,01923 284169,,@ComputingHubBaO,
Woking High School,Computing - Surrey,Surrey,https://teachcomputing.org/courses/hubs/79f2fb09-3ed0-ea11-a813-000d3a86d545,79f2fb09-3ed0-ea11-a813-000d3a86d545,South East,"Woking High School, Morton Road, Horsell",GU21 4TJ,TeachComputing@wokinghigh.surrey.sch.uk,01483 888447 (ext 204),,@HubWHSSurrey,
Park House School,Computing - West Berkshire and Hampshire,West Berkshire and Hampshire,https://teachcomputing.org/courses/hubs/d37b5922-33de-e911-a812-000d3a86d6ce,d37b5922-33de-e911-a812-000d3a86d6ce,South East,"Park House School, Andover Road, Newbury",RG14 6NQ,teachcomputing@parkhouseschool.org,,,@HubPHSNewbury,
Bohunt School,Computing - West Sussex and Hampshire,West Sussex and Hampshire,https://teachcomputing.org/courses/hubs/cc21dbc3-3dd0-ea11-a813-000d3a86d545,cc21dbc3-3dd0-ea11-a813-000d3a86d545,South East,"Bohunt School, Longmoor Road, Liphook",GU30 7NY,TeachComputing@bohunt.hants.sch.uk,01428 724324,,,
Truro and Penwith College,Computing - Cornwall & Plymouth,Cornwall & Plymouth,https://teachcomputing.org/courses/hubs/2bca0e7e-33de-e911-a812-000d3a86d6ce,2bca0e7e-33de-e911-a812-000d3a86d6ce,South West,"Truro and Penwith College, College Road, Truro",TR1 3XX,teachcomputing@truro-penwith.ac.uk,,,,
Exeter Mathematics School,Computing - Devon,Devon,https://teachcomputing.org/courses/hubs/34c55ebb-32de-e911-a812-000d3a86d6ce,34c55ebb-32de-e911-a812-000d3a86d6ce,South West,"Exeter Mathematics School, Rougemont House, Castle Road",EX4 3PU,TeachComputing@exeterms.ac.uk,01392 429020,,@ComputingHubDev,
Pate's Grammar School,"Computing - Gloucestershire, Wiltshire and North Somerset","Gloucestershire, Wiltshire and North Somerset",https://teachcomputing.org/courses/hubs/845ce483-2d92-eb11-b1ac-000d3a86e2cc,845ce483-2d92-eb11-b1ac-000d3a86e2cc,South West,"Pate's Grammar School, Princess Elizabeth Way, Cheltenham",GL51 0HG,teachcomputing@odysseyts.org,01242 220684,,@ComputingHubOTS,
The Castle School,Computing - Somerset,Somerset,https://teachcomputing.org/courses/hubs/56a1f25f-33de-e911-a812-000d3a86d6ce,56a1f25f-33de-e911-a812-000d3a86d6ce,South West,"The Castle School, Wellington Road, Taunton",TA1 5AU,teachcomputing@castle.somerset.sch.uk,01823 274073,,@ComputingHubSom,
Bishop Challoner Catholic College,Computing - Birmingham and West Midlands,Birmingham and West Midlands,https://teachcomputing.org/courses/hubs/44c64140-32de-e911-a812-000d3a86d6ce,44c64140-32de-e911-a812-000d3a86d6ce,West Midlands,"Bishop Challoner Catholic College, Institute Road, Kings Heath",B14 7EG,teachcomputing@bishopchalloner.bham.sch.uk,01214 416128 ,,@BCComputingHub,
City of Stoke-on-Trent 6th Form College,"Computing - Stoke-on-Trent, Staffordshire and Derbyshire","Stoke-on-Trent, Staffordshire and Derbyshire",https://teachcomputing.org/courses/hubs/5e12c570-32de-e911-a812-000d3a86d6ce,5e12c570-32de-e911-a812-000d3a86d6ce,West Midlands,"City of Stoke-on-Trent 6th Form College, Leek Road, Stoke-on-Trent",ST4 2RU,TeachComputing@potteries.ac.uk,01782 854222,,@ComputingHubSOT,
The Chase,Computing - West Midlands,West Midlands,https://teachcomputing.org/courses/hubs/1c90046c-33de-e911-a812-000d3a86d6ce,1c90046c-33de-e911-a812-000d3a86d6ce,West Midlands,"The Chase, Geraldine Road, Malvern",WR14 3NZ,TeachComputing@chase.worcs.sch.uk,01684 218479,,@TC_computinghub,
Harrogate Grammar School,"Computing - North Yorkshire, Leeds and Wakefield","North Yorkshire, Leeds and Wakefield",https://teachcomputing.org/courses/hubs/2ca6530e-c392-eb11-b1ac-000d3a870eed,2ca6530e-c392-eb11-b1ac-000d3a870eed,Yorkshire and The Humber,"Harrogate Grammar School, Arthurs Avenue, Harrogate",HG2 0DZ,TeachComputing@rklt.co.uk,01423 531127,,@CompHubYorks,
Bingley Grammar School,Computing - West Yorkshire,West Yorkshire,https://teachcomputing.org/courses/hubs/4ae339bf-c492-eb11-b1ac-000d3a870eed,4ae339bf-c492-eb11-b1ac-000d3a870eed,Yorkshire and The Humber,"Bingley Grammar School, Keighley Road, Bingley",BD16 2RS,teachcomputing@bingleygrammar.org,01274 807700,,@computinghubBIY,
All Saints RC School,"Computing - York, East and South Yorkshire","York, East and South Yorkshire",https://teachcomputing.org/courses/hubs/11744ecb-c492-eb11-b1ac-000d3a870eed,11744ecb-c492-eb11-b1ac-000d3a870eed,Yorkshire and The Humber,"All Saints, Mill Mount Lane, York",YO24 1BJ,TeachComputing@allsaints.york.sch.uk,,,@NCCEHubYork,
